# galactic coordinates #
# l(deg)    b(deg)   m_v #
  336.49  21.7319  9.44361832
  160.046 -3.46925  12.2312752
  123.497 -6.02216  10.3763102
  263.911  17.1268  3.36183869
  62.2226  2.64638  9.89210378
  222.431 -6.6653  9.80162119
  243.67  0.28229  8.0294384
  30.5165  4.29283  10.8710179
  272.433 -3.31706  2.61543377
  58.3246 -2.17187  10.8476468
  151.536 -12.3711  8.4122617
  72.173 -2.99035  5.20244776
  103.16  2.36089  8.85072273
  179.329  0.903633  12.2210245
  325.317  0.888673  9.63860946
  41.7074  0.631116  12.9628617
  75.0252  18.0083  4.54047642
  348.167  0.186817  8.64263695
  308.788  1.40478  12.4927853
  139.244  1.13667  10.8027866
  164.215  0.507893  9.30141349
  95.9773 -14.043  2.2286666
  340.302  2.14922  10.7047541
  219.744  0.231188  12.0661207
  241.045 -1.5252  2.85946374
  109.122  23.827  6.15668614
  247.822 -1.63115  14.8063412
  49.6711 -2.26406  9.0764596
  178.144  2.04552  9.55069604
  54.8506 -8.83348  7.81717027
  279.193 -21.7073  2.0106528
  299.536  2.84196  8.61216462
  316.563  3.09841  9.01161801
  280.125  15.4135  6.20385424
  19.5876  1.28467  11.4429979
  221.28 -10.2501  9.06034877
  227.177 -0.446049  10.766421
  338.136  9.43534  8.30896007
  3.88664 -0.644433  13.4323945
  258.281 -3.01798  8.60214771
  36.2227 -47.3035  5.10115603
  256.398 -13.1866  7.15047627
  67.0366 -0.519049  8.55385641
  67.2604 -2.87188  8.6313786
  255.388  14.7689  4.59462568
  214.726  5.00915  10.2636626
  319.269  2.87807  7.88416727
  346.57  9.64437  9.4374986
  55.1531  22.2634  7.96352906
  133.118  4.1259  10.1006128
  209.015 -1.4131  11.6411231
  158.363 -6.21605  9.37978833
  20.1168  3.77539  11.2502007
  266.539 -1.76239  6.01015116
  73.4278  2.03652  7.23431986
  20.8846  12.5934  8.19006914
  49.4351 -3.65366  11.3556522
  4.17832  8.52406  9.47145544
  20.0154 -1.90802  12.7720173
  296.437  0.925489  9.00360521
  149.092  1.69093  13.6944335
  286.251 -7.62987  6.53077655
  26.3489 -1.49083  10.7388153
  106.825  7.38435  9.98273025
  359.544  0.140725  17.2402038
  342.68 -2.5455  10.3501905
  21.6648 -15.5793  10.2794789
  22.7212 -8.65252  10.6036954
  147.295  32.0077  7.49006495
  342.491 -1.77813  11.2136875
  39.1918 -9.08986  8.86368977
  93.3985  2.25538  7.31323025
  152.453 -2.74842  10.7906853
  339.507  7.77707  9.66809034
  55.6199 -4.07518  9.00452297
  6.4301 -2.69458  13.2529082
  135.374 -10.4202  6.25078528
  99.0935  8.48228  10.1273676
  58.8941  18.9527  5.65873499
  145.12  1.38472  11.3632436
  349.511  4.22193  8.78624893
  187.214 -0.0933584  13.1805963
  276.707  1.56021  5.2093743
  74.1822  10.4762  7.8073362
  220.417 -5.34365  7.49278634
  180.152 -12.7054  11.8531778
  268.3  2.28319  2.16583042
  299.918  4.52583  8.64113185
  286.594 -24.807  6.3320726
  178.301  5.26984  10.578431
  359.048 -40.1442  5.07369861
  48.5326 -3.28288  11.4719409
  25.1897  46.074  7.46493985
  338.165 -11.9831  7.17290956
  290.465 -9.59156  7.46518494
  102.441  0.784544  9.22787403
  234.431 -3.46601  9.85213387
  284.01  1.90064  10.1586837
  119.019  1.35563  9.40782508
  195.153  5.02458  11.7831697
  24.1458 -0.757291  14.503686
  184.169  0.850534  12.3525524
  12.6251  6.17241  11.8926751
  352.761 -7.87993  8.07078956
  312.173 -0.328411  9.04430901
  156.155  5.7821  10.1173778
  53.4574  16.684  7.922978
  48.3291 -5.91462  9.70947468
  93.1068  2.03537  8.10997966
  86.2796  0.0970145  6.34735846
  187.252 -1.55092  11.1404311
  275.141 -8.56704  5.41421811
  194.196  2.23399  9.87351421
  14.6465 -5.33173  9.42369226
  3.59729  0.935731  13.9853914
  325.242  11.1212  8.35474896
  105.737 -4.05138  4.8934085
  266.544  3.62305  4.7952632
  16.3995 -9.33158  11.9949864
  113.225  6.23886  10.2760972
  330.565  6.15393  10.4451854
  288.117 -6.4705  4.07271654
  157.19 -2.80491  12.7498202
  260.783 -2.30596  6.10923094
  347.366 -4.30938  10.8941984
  292.167  0.3704  8.30819226
  34.3684 -5.35338  9.65239159
  99.685  46.4561  2.49351261
  5.40588  5.97995  10.4652838
  306.624 -11.8702  7.92458718
  324.364 -11.1011  7.44965133
  330.311 -5.70758  10.2012409
  330.966  12.2106  7.68005944
  215.661  0.214339  12.6676156
  29.9406  2.06965  9.82502225
  230.297  7.74461  8.52745473
  3.41378  8.75512  10.483657
  288.202 -5.585  8.20577081
  334.03  5.40373  12.6607228
  77.1832 -1.60361  7.45437614
  172.643  5.50053  9.15010354
  185.451 -16.7684  15.2753852
  24.7349 -4.11469  10.0443233
  242.89 -6.77739  4.98227403
  347.418 -0.347639  11.1180555
  63.9239 -8.57514  6.80458028
  256.401 -1.33788  9.47397085
  92.3364  0.997367  4.69163488
  317.74 -10.4587  9.78358845
  74.678 -0.81786  11.6080874
  225.258  0.858282  10.0972984
  340.02  6.1782  11.0829314
  278.689 -56.2079  2.39787574
  176.968  2.11129  9.42609075
  22.7549  1.10334  8.8613998
  68.8309 -2.95161  8.28333009
  206.293 -0.184587  13.1638543
  127.911  1.1023  8.72144895
  245.668 -9.20867  5.9697014
  50.1158  0.408765  11.2775068
  186.912 -3.65031  6.15338194
  200.944  3.49691  10.2210849
  132.89 -4.11152  8.5330002
  6.04485 -16.3813  8.29318601
  273.429  2.07545  6.74447859
  115.814  3.40588  11.0548106
  301.418 -4.71592  7.95902927
  314.203  2.08828  8.4924494
  326.376 -0.468981  9.655076
  185.866  2.12481  10.8301769
  31.8098 -1.03797  10.3158987
  24.1895 -6.42796  9.80770908
  183.907 -51.5802  6.79197049
  305.305 -14.2436  7.30883114
  345.611 -46.7191  6.58237931
  121.75 -0.444949  10.5375318
  190.974 -5.37968  8.06929813
  45.011 -2.57213  11.7015351
  93.2396 -3.51456  6.78401179
  217.082  10.8591  7.98492767
  102.441 -3.91055  6.14127069
  144.605  26.9761  9.00283744
  354.323  0.75834  15.0324785
  312.072 -1.82257  11.1457717
  10.6257  8.88073  9.74272665
  138.384 -1.01222  12.4013002
  188.612  0.885245  13.3094097
  71.5916 -1.05159  8.44633423
  352.126  13.4414  10.0368915
  56.8173  11.8151  8.70516166
  324.205  2.32028  9.29822956
  69.2073  7.0964  7.89935332
  93.6821 -8.74545  4.74159108
  7.65588 -3.61407  10.8125401
  247.727 -0.189841  5.47621176
  158.881 -6.30024  11.9785823
  251.328 -1.06393  13.4537063
  170.136  7.07897  7.7202955
  345.366  0.820748  18.5250469
  332.527  6.10002  9.30979636
  115.669 -13.1802  6.50535572
  190.158  11.2239  8.42282842
  87.0531 -25.981  1.31689725
  74.1407 -5.84765  6.14323953
  329.593  5.2077  9.08365492
  155.834 -4.46812  10.3129357
  359.651  1.11496  12.3969888
  338.579  1.86472  10.7661966
  273.313  2.26184  4.59164621
  33.2838 -5.03537  9.95380492
  26.5083  0.252252  12.3157755
  12.951 -16.082  6.31247825
  109.611  4.11158  8.36173383
  222.485 -5.80435  10.8364497
  261.21 -0.383386  3.76494555
  187.237  2.55417  10.0655915
  174.096  0.596119  10.5931816
  22.4736  17.1945  8.96325843
  50.619 -1.12753  9.23498177
  115.208 -2.43279  10.5935778
  199.822 -2.06972  10.3978725
  164.35 -8.98066  15.4925392
  84.7971 -3.00389  4.96769699
  14.8438 -9.91129  8.41684934
  269.345 -5.82005 -0.19158118
  39.0156  17.038  8.89356376
  179.874  0.310794  8.53088207
  57.8547 -4.23244  11.6530457
  105.462 -1.49717  9.04652467
  108.28  2.49605  10.9735697
  273.872 -1.48786  6.216908
  56.217 -20.5521  5.87070291
  61.2657  6.93638  6.84344272
  179.527 -3.20421  11.398159
  93.4033  3.35099  7.07553641
  215.081  13.655  7.65827332
  277.609 -2.00088  6.43244341
  174.782 -11.3359  12.8291934
  126.953 -8.20795  7.75205097
  249.852 -2.13461  11.4844595
  148.461  2.02098  13.2964033
  249.186 -5.61254  17.167016
  28.0774  0.461407  10.047209
  117.179 -0.717408  8.06032161
  244.247 -4.13723  8.61101105
  87.576  2.3729  4.23451855
  285.575  3.54934  7.76209347
  257.01  0.821576  9.75336923
  117.058 -14.1392  7.14622324
  19.0278 -0.842088  12.5790706
  238.69  0.140831  10.6601491
  51.3825 -5.30052  8.49895733
  90.3704 -6.47471  2.53968493
  11.7216 -2.34683  12.4611566
  209.325  2.21934  14.2109555
  92.4461  12.2231  3.75464373
