# from Bender Burstein and Faber 1992
#        ngc          re       sigma           I
#
         315       30.62       351.6       71.78
         584       5.297       217.3       420.7
         636       3.648       156.3       328.1
         720       6.918       246.6       220.8
         777       13.61       348.3       144.5
         821       8.356       198.6       114.8
        1052       5.284       205.6         227
        1395       6.855       258.2       205.1
        1399       5.458       309.7       337.3
        1404       3.443       225.4       619.4
        1407       10.99       285.1       114.8
        1549        4.55       205.1       260.6
        1600       22.91       320.6       85.51
        1700       5.433       233.3       666.8
        2300       8.035       269.2         157
        2974       6.237       221.8       194.1
        3091       10.07       290.4       155.6
        3557       10.02       291.7       248.9
        3607       6.546       247.7       143.2
        3610       2.443       158.9        1259
        3613       4.645       210.4       307.6
        3640       4.355       176.2       296.5
        3904       3.589       215.3       398.1
        4125       11.19       228.6       164.4
        4168       9.705       181.6       80.91
        4261       7.745       293.8       199.5
        4365       5.649       247.7       170.6
        4374       5.534       287.1       299.2
        4406       8.995         250         138
        4472       10.33       287.1       173.8
        4494       4.977       124.5       258.2
        4589       7.413       214.8       135.5
        4621        4.71       240.4       255.9
        4636       9.908         191       80.91
        4649       7.464       341.2       229.1
        4697       7.516       165.2       172.2
        4889       21.18       381.9       103.8
        5322       7.261       223.9       296.5
        5576       2.871       187.1       534.6
        5846       12.88         278       79.43
        6411       10.23       155.6         118
        6909       8.395       148.6       115.9
        7507        4.92       238.2       353.2
        7619       11.67       337.3       154.2
        7626       13.71       233.9       112.7
        7785       10.54       291.1       167.5
        1459       6.252       307.6       299.2
        4296       19.32       322.8       93.76
        1379        5.47       133.4       121.3
        1439       6.252       156.3        87.1
        2694       1.288         150       831.8
        3156       5.546       69.98       63.68
        3193        2.78       204.6       334.2
        3377       2.193       130.6       313.3
        3379        2.27       200.9       544.5
        3608       3.524       204.2       172.2
        3818       2.673       206.1       210.9
        4278       2.339       266.1       363.1
        4291        2.63       258.8       501.2
        4387        1.56       83.56         302
        4473       2.541       177.8       529.7
        4478       1.419       149.3       711.2
        4551       1.791       99.77         263
        4564       2.198       153.1       349.9
        4660       1.294       197.7       816.6
        4742       1.271       93.33        1138
        5831       4.159         166       170.6
        5845       0.631       251.2        2805
          16       2.323         182       920.4
         474        2.27         171       580.8
         936       3.589       193.2       432.5
        1175       4.365         200       575.4
        1553       2.228       169.8        1271
        2549      0.9333         140        1905
        2639       7.447       179.9       98.17
        2778       1.132       187.9       334.2
        2880       2.438       143.9       363.1
        3300       2.382       145.9       242.1
        3115       1.545       219.8       794.3
        4026       0.537         160        3311
        4036       1.849         195         520
        4111      0.3311         150        4365
        4169       4.864       221.8       313.3
        4281       7.079       285.1       178.6
        4594       8.128       219.8       251.2
        5380       1.072       158.1        1445
        7332       1.023       134.9        3020
